"ride_id","rideable_type","started_at","ended_at","station","start_station_id","end_station_name","end_station_id","lattitude","longitude","end_lat","end_lng","member_casual","total_rides"
"8584921E604063A6","classic_bike","2022-06-16 13:34:53","2022-06-16 13:48:33","Bergen Ave & Stegman St","JC108","Glenwood Ave","JC094",40.7065754506345,-74.0867006778717,40.7275514673001,-74.0710607171059,"member",166
"971990E750C4883B","classic_bike","2022-06-18 13:57:56","2022-06-18 14:14:53","Columbus Drive","JC014","Madison St & 1 St","HB402",40.7183551982321,-74.0389144420624,40.73879,-74.0393,"casual",1332
"7B8F7A114EDA7F8F","electric_bike","2022-06-28 08:02:57","2022-06-28 08:25:00","Grand St","JC102","Mercer St & Spring St","5532.01",40.7151776773203,-74.0376833081245,40.72362738,-73.99949601,"member",1252
"D424BC02495FAD22","electric_bike","2022-06-14 12:57:34","2022-06-14 13:08:00","Newport Pkwy","JC008","Newark Ave","JC032",40.7287448,-74.0321082,40.72152515,-74.046304543,"member",2788
"7BCA3C8145AE2A57","classic_bike","2022-06-29 15:57:43","2022-06-29 16:01:07","Hilltop","JC019","Christ Hospital","JC034",40.7311689,-74.0575736,40.734785818,-74.050443636,"member",749
"61BB2696AB83B149","electric_bike","2022-06-18 21:13:42","2022-06-18 21:21:50","Bergen Ave","JC095","Christ Hospital","JC034",40.722103786686,-74.0714550018311,40.734785818,-74.050443636,"casual",651
"C4B916697CD1EB72","classic_bike","2022-06-15 21:15:16","2022-06-15 21:36:33","Hudson St & 4 St","HB607","7 St & Monroe St","HB304",40.7409726086436,-74.0286033600569,40.7464126483772,-74.0379770100117,"member",1753
"D3DC7AE58A339FE9","classic_bike","2022-06-06 15:50:08","2022-06-06 15:51:53","6 St & Grand St","HB302","7 St & Monroe St","HB304",40.7443978330956,-74.0345008671284,40.7464126483772,-74.0379770100117,"member",821
"5D43704D2D8DC4B0","electric_bike","2022-06-17 15:22:11","2022-06-17 15:56:38","Marshall St & 2 St","HB408","Hoboken Ave at Monmouth St","JC105",40.740802,-74.042521,40.7352083804536,-74.0469637513161,"member",936
"7BBC707E0744AE4C","electric_bike","2022-06-13 18:57:13","2022-06-13 19:02:37","Heights Elevator","JC059","Hoboken Ave at Monmouth St","JC105",40.7487159453802,-74.0404433012009,40.7352083804536,-74.0469637513161,"casual",551
"C6A98C67AD675657","classic_bike","2022-06-13 21:54:02","2022-06-13 21:58:04","Jersey & 3rd","JC074","Brunswick St","JC023",40.7233315864644,-74.0459525585174,40.7241765,-74.0506564,"member",966
